Team,Gms,Num,Yds,Avg,Lg,TD,Yds/G,Year
Indianapolis Colts,16,28,590,21.07,60,0,36.9,2017
Jacksonville Jaguars,16,25,551,22.04,68,0,34.4,2017
Kansas City Chiefs,16,47,1051,22.36,42,0,65.7,2017
Los Angeles Chargers,16,25,474,18.96,44,0,29.6,2017
Los Angeles Rams,16,40,1001,25.02,103t,1,62.6,2017
Miami Dolphins,16,40,834,20.85,37,0,52.1,2017
Minnesota Vikings,16,25,619,24.76,39,0,38.7,2017
New England Patriots,16,28,622,22.21,103t,1,38.9,2017
New Orleans Saints,16,36,825,22.92,106t,1,51.6,2017
New York Giants,16,31,609,19.65,30,0,38.1,2017
New York Jets,16,34,683,20.09,40,0,42.7,2017
Oakland Raiders,16,34,738,21.71,49,0,46.1,2017
Philadelphia Eagles,16,18,354,19.67,35,0,22.1,2017
Pittsburgh Steelers,16,33,630,19.09,96t,1,39.4,2017
San Francisco 49ers,16,31,570,18.39,34,0,35.6,2017
Seattle Seahawks,16,43,1004,23.35,99t,1,62.8,2017
Tampa Bay Buccaneers,16,20,432,21.6,50,0,27,2017
Tennessee Titans,16,28,618,22.07,57,0,38.6,2017
Washington Redskins,16,34,673,19.79,35,0,42.1,2017
Arizona Cardinals,16,25,536,21.44,36,0,33.5,2018
Atlanta Falcons,16,31,689,22.23,53,0,43.1,2018
Baltimore Ravens,16,32,707,22.09,39,0,44.2,2018
Buffalo Bills,16,38,807,21.24,49,0,50.4,2018
Carolina Panthers,16,26,582,22.38,37,0,36.4,2018
Chicago Bears,16,23,440,19.13,31,0,27.5,2018
Cincinnati Bengals,16,43,1071,24.91,77,0,66.9,2018
Cleveland Browns,16,44,884,20.09,35,0,55.2,2018
Dallas Cowboys,16,13,283,21.77,35,0,17.7,2018
Denver Broncos,16,30,604,20.13,35,0,37.8,2018
Detroit Lions,16,20,482,24.1,45,0,30.1,2018
Green Bay Packers,16,30,644,21.47,38,0,40.2,2018
Houston Texans,16,20,487,24.35,36,0,30.4,2018
Indianapolis Colts,16,17,337,19.82,29,0,21.1,2018
Jacksonville Jaguars,16,26,532,20.46,47,0,33.2,2018
Kansas City Chiefs,16,40,975,24.38,97,0,60.9,2018
Los Angeles Chargers,16,28,653,23.32,40,0,40.8,2018
Los Angeles Rams,16,39,834,21.38,40,0,52.1,2018
Miami Dolphins,16,39,938,24.05,102t,1,58.6,2018
Minnesota Vikings,16,22,540,24.55,46,0,33.8,2018
New England Patriots,16,28,755,26.96,95t,1,47.2,2018
New Orleans Saints,16,23,560,24.35,50,0,35,2018
New York Giants,16,45,1097,24.38,51,0,68.6,2018
New York Jets,16,46,1238,26.91,99t,1,77.4,2018
Oakland Raiders,16,29,663,22.86,34,0,41.4,2018
Philadelphia Eagles,16,33,725,21.97,48,0,45.3,2018
Pittsburgh Steelers,16,32,619,19.34,35,0,38.7,2018
San Francisco 49ers,16,36,944,26.22,97t,1,59,2018
Seattle Seahawks,16,29,669,23.07,84,0,41.8,2018
Tampa Bay Buccaneers,16,31,631,20.35,38,0,39.4,2018
Tennessee Titans,16,23,737,32.04,94t,1,46.1,2018
Washington Redskins,16,29,570,19.66,44,0,35.6,2018
