Team,Gms,Num,Yds,Avg,FC,Lg,TD,Yds/G,Year
New York Jets,16,27,149,5.52,28,27,0,9.3,2016
Oakland Raiders,16,41,380,9.27,13,47,0,23.8,2016
Philadelphia Eagles,16,19,246,12.95,13,66,0,15.4,2016
Pittsburgh Steelers,16,22,185,8.41,19,33,0,11.6,2016
San Diego Chargers,16,32,212,6.62,12,21,0,13.2,2016
San Francisco 49ers,16,23,216,9.39,36,33,0,13.5,2016
Seattle Seahawks,16,30,249,8.3,28,62,0,15.6,2016
Tampa Bay Buccaneers,16,29,266,9.17,22,25,0,16.6,2016
Tennessee Titans,16,30,236,7.87,22,18,0,14.8,2016
Washington Redskins,16,29,344,11.86,16,85t,1,21.5,2016
Arizona Cardinals,16,41,288,7.02,30,20,0,18,2017
Atlanta Falcons,16,27,201,7.44,21,27,0,12.6,2017
Baltimore Ravens,16,32,322,10.06,27,77t,1,20.1,2017
Buffalo Bills,16,24,213,8.88,13,40,0,13.3,2017
Carolina Panthers,16,40,318,7.95,17,60t,1,19.9,2017
Chicago Bears,16,32,337,10.53,16,61t,2,21.1,2017
Cincinnati Bengals,16,47,409,8.7,19,40,0,25.6,2017
Cleveland Browns,16,38,221,5.82,19,25,0,13.8,2017
Dallas Cowboys,16,31,275,8.87,15,83t,1,17.2,2017
Denver Broncos,16,41,351,8.56,22,44,0,21.9,2017
Detroit Lions,16,37,517,13.97,22,88t,2,32.3,2017
Green Bay Packers,16,27,289,10.7,22,65,0,18.1,2017
Houston Texans,16,35,296,8.46,20,49,0,18.5,2017
Indianapolis Colts,16,27,162,6,13,30,0,10.1,2017
Jacksonville Jaguars,16,34,325,9.56,30,72,1,20.3,2017
Kansas City Chiefs,16,35,220,6.29,10,82t,1,13.8,2017
Los Angeles Chargers,16,28,259,9.25,26,65t,1,16.2,2017
Los Angeles Rams,16,45,458,10.18,11,53,0,28.6,2017
Miami Dolphins,16,37,271,7.32,14,27,0,16.9,2017
Minnesota Vikings,16,39,372,9.54,26,46,0,23.2,2017
New England Patriots,16,32,263,8.22,21,40,0,16.4,2017
New Orleans Saints,16,34,218,6.41,23,24,0,13.6,2017
New York Giants,16,27,148,5.48,23,20,0,9.2,2017
New York Jets,16,38,171,4.5,22,25,0,10.7,2017
Oakland Raiders,16,27,155,5.74,21,19,0,9.7,2017
Philadelphia Eagles,16,29,259,8.93,20,76,0,16.2,2017
Pittsburgh Steelers,16,30,207,6.9,20,27,0,12.9,2017
San Francisco 49ers,16,34,304,8.94,17,39,0,19,2017
Seattle Seahawks,16,36,237,6.58,21,27,0,14.8,2017
Tampa Bay Buccaneers,16,20,192,9.6,14,44,0,12,2017
Tennessee Titans,16,36,305,8.47,9,46,0,19.1,2017
