Team,Gms,Num,Yds,Avg,FC,Lg,TD,Yds/G
Arizona Cardinals,16,39,289,7.41,22,38,0,18.1
Atlanta Falcons,16,27,255,9.44,20,41,0,15.9
Baltimore Ravens,16,40,450,11.25,15,82t,1,28.1
Buffalo Bills,16,31,232,7.48,22,27,0,14.5
Carolina Panthers,16,30,282,9.4,25,37,0,17.6
Chicago Bears,16,31,242,7.81,22,34,0,15.1
Cincinnati Bengals,16,43,350,8.14,12,35,0,21.9
Cleveland Browns,16,29,325,11.21,10,78t,1,20.3
Dallas Cowboys,16,33,183,5.55,21,28,0,11.4
Denver Broncos,16,29,283,9.76,26,83t,1,17.7
Detroit Lions,16,30,209,6.97,22,28,0,13.1
Green Bay Packers,16,31,167,5.39,23,16,0,10.4
Houston Texans,16,52,377,7.25,23,20,0,23.6
Indianapolis Colts,16,39,268,6.87,28,33,0,16.8
Jacksonville Jaguars,16,31,361,11.65,16,73t,1,22.6
Kansas City Chiefs,16,45,355,7.89,9,37,0,22.2
Miami Dolphins,16,41,424,10.34,16,69t,1,26.5
Minnesota Vikings,16,34,311,9.15,15,65t,1,19.4
New England Patriots,16,47,473,10.06,18,82,0,29.6
New Orleans Saints,16,32,275,8.59,13,74t,1,17.2
New York Giants,16,36,367,10.19,9,80t,1,22.9
New York Jets,16,49,422,8.61,22,58,0,26.4
Oakland Raiders,16,42,272,6.48,13,22,0,17
Philadelphia Eagles,16,39,443,11.36,18,89t,2,27.7
Pittsburgh Steelers,16,28,231,8.25,17,71t,1,14.4
San Diego Chargers,16,20,84,4.2,26,18,0,5.2
San Francisco 49ers,16,30,226,7.53,23,37,0,14.1
Seattle Seahawks,16,42,450,10.71,22,66,1,28.1
St. Louis Rams,16,39,300,7.69,15,75t,1,18.8
Tampa Bay Buccaneers,16,29,288,9.93,14,58,0,18
Tennessee Titans,16,38,307,8.08,17,37,0,19.2
Washington Redskins,16,32,153,4.78,17,16,0,9.6
