Team,Gms,Rush,Pass,Pen,Tot,Att,Made,Pct,Att,Made,Pct
Arizona Cardinals,16,92,237,44,373,198,93,47,9,4,44.4
Atlanta Falcons,16,95,230,34,359,227,107,47.1,19,10,52.6
Baltimore Ravens,16,89,211,23,323,226,85,37.6,24,12,50
Buffalo Bills,16,122,155,20,297,227,86,37.9,16,7,43.8
Carolina Panthers,16,136,197,24,357,203,86,42.4,10,6,60
Chicago Bears,16,108,177,27,312,219,93,42.5,10,6,60
Cincinnati Bengals,16,99,191,34,324,201,81,40.3,12,7,58.3
Cleveland Browns,16,81,192,34,307,227,95,41.9,24,10,41.7
Dallas Cowboys,16,94,175,38,307,191,66,34.6,16,8,50
Denver Broncos,16,85,201,28,314,224,79,35.3,14,7,50
Detroit Lions,16,71,236,30,337,203,75,36.9,14,7,50
Green Bay Packers,16,100,173,44,317,208,70,33.7,21,11,52.4
Houston Texans,16,90,210,35,335,249,96,38.6,19,6,31.6
Indianapolis Colts,16,77,195,39,311,235,94,40,13,7,53.8
Jacksonville Jaguars,16,69,215,29,313,205,72,35.1,15,8,53.3
Kansas City Chiefs,16,116,155,32,303,199,76,38.2,9,6,66.7
Miami Dolphins,16,72,194,25,291,205,63,30.7,22,8,36.4
Minnesota Vikings,16,113,153,31,297,199,76,38.2,11,5,45.5
New England Patriots,16,87,229,31,347,215,88,40.9,15,9,60
New Orleans Saints,16,98,247,36,381,218,104,47.7,16,10,62.5
New York Giants,16,77,208,46,331,217,82,37.8,16,9,56.2
New York Jets,16,99,210,20,329,229,93,40.6,14,6,42.9
Oakland Raiders,16,74,193,33,300,220,86,39.1,13,5,38.5
Philadelphia Eagles,16,110,193,36,339,230,91,39.6,16,8,50
Pittsburgh Steelers,16,91,207,33,331,193,75,38.9,12,4,33.3
San Diego Chargers,16,79,230,35,344,231,97,42,15,5,33.3
San Francisco 49ers,16,83,154,24,261,213,65,30.5,19,9,47.4
Seattle Seahawks,16,128,190,17,335,213,99,46.5,9,8,88.9
St. Louis Rams,16,92,126,23,241,201,52,25.9,13,4,30.8
Tampa Bay Buccaneers,16,99,201,36,336,202,84,41.6,13,7,53.8
Tennessee Titans,16,66,195,37,298,201,64,31.8,15,7,46.7
Washington Redskins,16,81,208,28,317,216,94,43.5,12,7,58.3
