Team,Gms,Att,Cmp,Pct,Yds,YPA,TD,Int,Sack,Loss,Rate,NetYds,Yds/G
Arizona Cardinals,16,562,353,62.8,4775,8.5,35,13,27,159,100.9,4616,288.5
Atlanta Falcons,16,621,410,66,4602,7.41,21,17,32,223,87.8,4379,273.7
Baltimore Ravens,16,676,426,63,4449,6.58,21,21,24,178,79.4,4271,266.9
Buffalo Bills,16,465,295,63.4,3600,7.74,23,9,42,257,95.6,3343,208.9
Carolina Panthers,16,501,300,59.9,3873,7.73,35,10,33,284,99.2,3589,224.3
Chicago Bears,16,523,334,63.9,3843,7.35,21,12,34,183,89.7,3660,228.8
Cincinnati Bengals,16,505,334,66.1,4104,8.13,31,9,32,181,104.1,3923,245.2
Cleveland Browns,16,609,371,60.9,4156,6.82,20,12,53,374,84,3782,236.4
Dallas Cowboys,16,528,334,63.3,3677,6.96,16,22,33,206,76.6,3471,216.9
Denver Broncos,16,606,368,60.7,4216,6.96,19,23,39,246,76.3,3970,248.1
Detroit Lions,16,632,420,66.5,4463,7.06,33,14,44,251,95.1,4212,263.2
Green Bay Packers,16,573,348,60.7,3825,6.68,31,8,47,322,92.7,3503,218.9
Houston Texans,16,619,358,57.8,4079,6.59,29,12,36,246,85.3,3833,239.6
Indianapolis Colts,16,619,355,57.4,3928,6.35,26,19,37,224,77.5,3704,231.5
Jacksonville Jaguars,16,607,355,58.5,4428,7.29,35,18,51,320,88.1,4108,256.8
Kansas City Chiefs,16,473,310,65.5,3493,7.38,20,7,46,238,95.4,3255,203.4
Miami Dolphins,16,588,365,62.1,4231,7.2,24,12,45,420,88.9,3811,238.2
Minnesota Vikings,16,454,294,64.8,3246,7.15,14,9,45,318,87.9,2928,183
New England Patriots,16,629,404,64.2,4812,7.65,36,7,38,225,101.9,4587,286.7
New Orleans Saints,16,667,460,69,5205,7.8,32,12,32,235,100.6,4970,310.6
New York Giants,16,623,392,62.9,4500,7.22,36,14,27,157,94.5,4343,271.4
New York Jets,16,604,362,59.9,4170,6.9,33,16,22,113,88,4057,253.6
Oakland Raiders,16,605,373,61.7,4129,6.82,34,14,33,250,91,3879,242.4
Philadelphia Eagles,16,623,405,65,4341,6.97,23,18,37,254,85.6,4087,255.4
Pittsburgh Steelers,16,590,391,66.3,4822,8.17,26,21,33,219,91.2,4603,287.7
San Diego Chargers,16,667,442,66.3,4855,7.28,30,13,40,264,94.5,4591,286.9
San Francisco 49ers,16,526,322,61.2,3646,6.93,16,12,53,330,82.6,3316,207.2
Seattle Seahawks,16,489,333,68.1,4061,8.3,34,8,46,271,109.8,3790,236.9
St. Louis Rams,16,473,273,57.7,2931,6.2,11,11,18,126,74.1,2805,175.3
Tampa Bay Buccaneers,16,535,312,58.3,4042,7.56,22,15,27,190,84.2,3852,240.8
Tennessee Titans,16,551,342,62.1,3893,7.07,25,17,54,390,85.5,3503,218.9
Washington Redskins,16,555,386,69.5,4294,7.74,30,11,27,199,102,4095,255.9
