Team,Gms,Att,Yds,Avg,TD,FD,Yds/G
Arizona Cardinals,16,452,1917,4.24,16,92,119.8
Atlanta Falcons,16,420,1606,3.82,13,95,100.4
Baltimore Ravens,16,383,1478,3.86,8,89,92.4
Buffalo Bills,16,509,2432,4.78,19,122,152
Carolina Panthers,16,526,2282,4.34,19,136,142.6
Chicago Bears,16,468,1854,3.96,13,108,115.9
Cincinnati Bengals,16,467,1805,3.87,18,99,112.8
Cleveland Browns,16,380,1529,4.02,5,81,95.6
Dallas Cowboys,16,408,1890,4.63,8,94,118.1
Denver Broncos,16,411,1718,4.18,13,85,107.4
Detroit Lions,16,354,1335,3.77,7,71,83.4
Green Bay Packers,16,436,1850,4.24,8,100,115.6
Houston Texans,16,472,1731,3.67,7,90,108.2
Indianapolis Colts,16,396,1438,3.63,6,77,89.9
Jacksonville Jaguars,16,354,1473,4.16,5,69,92.1
Kansas City Chiefs,16,436,2044,4.69,19,116,127.8
Miami Dolphins,16,344,1496,4.35,11,72,93.5
Minnesota Vikings,16,474,2211,4.66,18,113,138.2
New England Patriots,16,383,1404,3.67,14,87,87.8
New Orleans Saints,16,397,1491,3.76,16,98,93.2
New York Giants,16,403,1609,3.99,5,77,100.6
New York Jets,16,448,1868,4.17,11,99,116.8
Oakland Raiders,16,370,1457,3.94,7,74,91.1
Philadelphia Eagles,16,442,1743,3.94,15,110,108.9
Pittsburgh Steelers,16,388,1724,4.44,16,91,107.8
San Diego Chargers,16,393,1358,3.46,4,79,84.9
San Francisco 49ers,16,390,1544,3.96,7,83,96.5
Seattle Seahawks,16,500,2268,4.54,10,128,141.8
St. Louis Rams,16,429,1956,4.56,16,92,122.2
Tampa Bay Buccaneers,16,455,2162,4.75,12,99,135.1
Tennessee Titans,16,371,1485,4,10,66,92.8
Washington Redskins,16,429,1566,3.65,9,81,97.9
