Team,W,L,T,Pct,Div,Conf,SOV,SOS,Year
Kansas City Chiefs,12,4,0,0.75,5/1/2000,10/2/2000,0.401,0.48,2018
New England Patriots,11,5,0,0.688,5/1/2000,8/4/2000,0.494,0.482,2018
Houston Texans,11,5,0,0.688,4/2/2000,9/3/2000,0.435,0.471,2018
Baltimore Ravens,10,6,0,0.625,3/3/2000,8/4/2000,0.45,0.496,2018
Los Angeles Chargers,12,4,0,0.75,4/2/2000,9/3/2000,0.422,0.477,2018
Indianapolis Colts,10,6,0,0.625,4/2/2000,7/5/2000,0.456,0.465,2018
Pittsburgh Steelers,9,6,1,0.594,4/1/2001,6/5/2001,0.448,0.504,2018
Tennessee Titans,9,7,0,0.562,3/3/2000,5/7/2000,0.465,0.52,2018
Cleveland Browns,7,8,1,0.469,3/2/2001,5/6/2001,0.411,0.516,2018
Miami Dolphins,7,9,0,0.438,4/2/2000,6/6/2000,0.446,0.469,2018
Denver Broncos,6,10,0,0.375,2/4/2000,4/8/2000,0.464,0.523,2018
Cincinnati Bengals,6,10,0,0.375,1/5/2000,4/8/2000,0.448,0.535,2018
Buffalo Bills,6,10,0,0.375,2/4/2000,4/8/2000,0.411,0.523,2018
Jacksonville Jaguars,5,11,0,0.312,1/5/2000,4/8/2000,0.463,0.549,2018
New York Jets,4,12,0,0.25,1/5/2000,3/9/2000,0.438,0.506,2018
Oakland Raiders,4,12,0,0.25,1/5/2000,3/9/2000,0.406,0.547,2018
New Orleans Saints,13,3,0,0.812,4/2/2000,9/3/2000,0.488,0.482,2018
Los Angeles Rams,13,3,0,0.812,6-0-0,9/3/2000,0.428,0.48,2018
Chicago Bears,12,4,0,0.75,5/1/2000,10/2/2000,0.419,0.43,2018
Dallas Cowboys,10,6,0,0.625,5/1/2000,9/3/2000,0.444,0.488,2018
Seattle Seahawks,10,6,0,0.625,3/3/2000,8/4/2000,0.4,0.484,2018
Philadelphia Eagles,9,7,0,0.562,4/2/2000,6/6/2000,0.486,0.518,2018
Minnesota Vikings,8,7,1,0.531,3/2/2001,6/5/2001,0.355,0.504,2018
Atlanta Falcons,7,9,0,0.438,4/2/2000,7/5/2000,0.348,0.482,2018
Washington Redskins,7,9,0,0.438,2/4/2000,6/6/2000,0.371,0.486,2018
Carolina Panthers,7,9,0,0.438,2/4/2000,5/7/2000,0.518,0.508,2018
Green Bay Packers,6,9,1,0.406,1/4/2001,3/8/2001,0.417,0.488,2018
Detroit Lions,6,10,0,0.375,2/4/2000,4/8/2000,0.427,0.504,2018
New York Giants,5,11,0,0.312,1/5/2000,4/8/2000,0.487,0.527,2018
Tampa Bay Buccaneers,5,11,0,0.312,2/4/2000,4/8/2000,0.506,0.523,2018
San Francisco 49ers,4,12,0,0.25,1/5/2000,2/10/2000,0.406,0.504,2018
Arizona Cardinals,3,13,0,0.188,2/4/2000,3/9/2000,0.302,0.527,2018
New England Patriots,13,3,0,0.812,5/1/2000,10/2/2000,0.466,0.484,2017
Pittsburgh Steelers,13,3,0,0.812,6-0-0,10/2/2000,0.423,0.453,2017
Jacksonville Jaguars,10,6,0,0.625,4/2/2000,9/3/2000,0.394,0.434,2017
Kansas City Chiefs,10,6,0,0.625,5/1/2000,8/4/2000,0.481,0.477,2017
Tennessee Titans,9,7,0,0.562,5/1/2000,8/4/2000,0.396,0.434,2017
Buffalo Bills,9,7,0,0.562,3/3/2000,7/5/2000,0.396,0.492,2017
Baltimore Ravens,9,7,0,0.562,3/3/2000,7/5/2000,0.299,0.441,2017
Los Angeles Chargers,9,7,0,0.562,3/3/2000,6/6/2000,0.347,0.457,2017
