Team,W,L,T,Pct,Div,Conf,SOV,SOS,Year
Cincinnati Bengals,7,9,0,0.438,3/3/2000,6/6/2000,0.321,0.465,2017
Oakland Raiders,6,10,0,0.375,2/4/2000,5/7/2000,0.396,0.512,2017
Miami Dolphins,6,10,0,0.375,2/4/2000,5/7/2000,0.531,0.543,2017
Denver Broncos,5,11,0,0.312,2/4/2000,4/8/2000,0.412,0.492,2017
New York Jets,5,11,0,0.312,2/4/2000,5/7/2000,0.438,0.52,2017
Indianapolis Colts,4,12,0,0.25,2/4/2000,3/9/2000,0.219,0.48,2017
Houston Texans,4,12,0,0.25,1/5/2000,3/9/2000,0.375,0.516,2017
Cleveland Browns,0,16,0,0,0-6-0,0-12-0,0,0.52,2017
Philadelphia Eagles,13,3,0,0.812,5/1/2000,10/2/2000,0.433,0.461,2017
Minnesota Vikings,13,3,0,0.812,5/1/2000,10/2/2000,0.447,0.492,2017
Los Angeles Rams,11,5,0,0.688,4/2/2000,7/5/2000,0.46,0.504,2017
New Orleans Saints,11,5,0,0.688,4/2/2000,8/4/2000,0.483,0.535,2017
Carolina Panthers,11,5,0,0.688,3/3/2000,7/5/2000,0.5,0.539,2017
Atlanta Falcons,10,6,0,0.625,4/2/2000,9/3/2000,0.475,0.543,2017
Detroit Lions,9,7,0,0.562,5/1/2000,8/4/2000,0.368,0.496,2017
Seattle Seahawks,9,7,0,0.562,4/2/2000,7/5/2000,0.444,0.492,2017
Dallas Cowboys,9,7,0,0.562,5/1/2000,7/5/2000,0.438,0.496,2017
Arizona Cardinals,8,8,0,0.5,3/3/2000,5/7/2000,0.406,0.488,2017
Green Bay Packers,7,9,0,0.438,2/4/2000,5/7/2000,0.357,0.539,2017
Washington Redskins,7,9,0,0.438,1/5/2000,5/7/2000,0.429,0.539,2017
San Francisco 49ers,6,10,0,0.375,1/5/2000,3/9/2000,0.438,0.512,2017
Tampa Bay Buccaneers,5,11,0,0.312,1/5/2000,3/9/2000,0.375,0.555,2017
Chicago Bears,5,11,0,0.312,0-6-0,1/11/2000,0.5,0.559,2017
New York Giants,3,13,0,0.188,1/5/2000,1/11/2000,0.458,0.531,2017
New England Patriots,14,2,0,0.875,5/1/2000,11/1/2000,0.424,0.439,2016
Kansas City Chiefs,12,4,0,0.75,6-0-0,9/3/2000,0.479,0.508,2016
Pittsburgh Steelers,11,5,0,0.688,5/1/2000,9/3/2000,0.423,0.494,2016
Houston Texans,9,7,0,0.562,5/1/2000,7/5/2000,0.427,0.502,2016
Oakland Raiders,12,4,0,0.75,3/3/2000,9/3/2000,0.443,0.504,2016
Miami Dolphins,10,6,0,0.625,4/2/2000,7/5/2000,0.341,0.455,2016
Tennessee Titans,9,7,0,0.562,2/4/2000,6/6/2000,0.458,0.465,2016
Denver Broncos,9,7,0,0.562,2/4/2000,6/6/2000,0.455,0.549,2016
Baltimore Ravens,8,8,0,0.5,4/2/2000,7/5/2000,0.363,0.498,2016
Indianapolis Colts,8,8,0,0.5,3/3/2000,5/7/2000,0.406,0.492,2016
Buffalo Bills,7,9,0,0.438,1/5/2000,4/8/2000,0.339,0.482,2016
Cincinnati Bengals,6,9,1,0.406,3/3/2000,5/7/2000,0.333,0.521,2016
New York Jets,5,11,0,0.312,2/4/2000,4/8/2000,0.312,0.518,2016
Los Angeles Chargers,5,11,0,0.312,1/5/2000,4/8/2000,0.512,0.543,2016
Jacksonville Jaguars,3,13,0,0.188,2/4/2000,2/10/2000,0.417,0.527,2016
Cleveland Browns,1,15,0,0.062,0-6-0,1/11/2000,0.312,0.549,2016
Dallas Cowboys,13,3,0,0.812,3/3/2000,9/3/2000,0.44,0.471,2016
Atlanta Falcons,11,5,0,0.688,5/1/2000,9/3/2000,0.452,0.48,2016
Seattle Seahawks,10,5,1,0.656,3/2/2001,6/5/2001,0.425,0.441,2016
Green Bay Packers,10,6,0,0.625,5/1/2000,8/4/2000,0.453,0.508,2016
New York Giants,11,5,0,0.688,4/2/2000,8/4/2000,0.455,0.486,2016
Detroit Lions,9,7,0,0.562,3/3/2000,7/5/2000,0.392,0.475,2016
Tampa Bay Buccaneers,9,7,0,0.562,4/2/2000,7/5/2000,0.434,0.492,2016
Washington Redskins,8,7,1,0.531,3/3/2000,6/6/2000,0.43,0.516,2016
Minnesota Vikings,8,8,0,0.5,2/4/2000,5/7/2000,0.457,0.492,2016
Arizona Cardinals,7,8,1,0.469,4/1/2001,6/5/2001,0.366,0.463,2016
New Orleans Saints,7,9,0,0.438,2/4/2000,6/6/2000,0.393,0.523,2016
Philadelphia Eagles,7,9,0,0.438,2/4/2000,5/7/2000,0.518,0.559,2016
Carolina Panthers,6,10,0,0.375,1/5/2000,5/7/2000,0.354,0.518,2016
Los Angeles Rams,4,12,0,0.25,2/4/2000,3/9/2000,0.5,0.504,2016
Chicago Bears,3,13,0,0.188,2/4/2000,3/9/2000,0.396,0.521,2016
San Francisco 49ers,2,14,0,0.125,2/4/2000,2/10/2000,0.25,0.504,2016
Denver Broncos,12,4,0,0.75,4/2/2000,8/4/2000,0.479,0.5,2015
New England Patriots,12,4,0,0.75,4/2/2000,9/3/2000,0.448,0.473,2015
Cincinnati Bengals,12,4,0,0.75,5/1/2000,9/3/2000,0.406,0.477,2015
Houston Texans,9,7,0,0.562,5/1/2000,7/5/2000,0.41,0.496,2015
Kansas City Chiefs,11,5,0,0.688,5/1/2000,10/2/2000,0.432,0.496,2015
Pittsburgh Steelers,10,6,0,0.625,3/3/2000,7/5/2000,0.463,0.504,2015
New York Jets,10,6,0,0.625,3/3/2000,7/5/2000,0.388,0.441,2015
Buffalo Bills,8,8,0,0.5,4/2/2000,7/5/2000,0.438,0.508,2015
Indianapolis Colts,8,8,0,0.5,4/2/2000,6/6/2000,0.406,0.5,2015
Oakland Raiders,7,9,0,0.438,3/3/2000,7/5/2000,0.366,0.512,2015
Miami Dolphins,6,10,0,0.375,1/5/2000,4/8/2000,0.469,0.469,2015
Jacksonville Jaguars,5,11,0,0.312,2/4/2000,5/7/2000,0.375,0.473,2015
Baltimore Ravens,5,11,0,0.312,3/3/2000,4/8/2000,0.425,0.508,2015
Los Angeles Chargers,4,12,0,0.25,0-6-0,3/9/2000,0.328,0.527,2015
Cleveland Browns,3,13,0,0.188,1/5/2000,2/10/2000,0.271,0.531,2015
Tennessee Titans,3,13,0,0.188,1/5/2000,1/11/2000,0.375,0.492,2015
Carolina Panthers,15,1,0,0.938,5/1/2000,11/1/2000,0.438,0.441,2015
Arizona Cardinals,13,3,0,0.812,4/2/2000,10/2/2000,0.457,0.477,2015
Minnesota Vikings,11,5,0,0.688,5/1/2000,8/4/2000,0.449,0.504,2015
Washington Redskins,9,7,0,0.562,4/2/2000,8/4/2000,0.403,0.465,2015
Green Bay Packers,10,6,0,0.625,3/3/2000,7/5/2000,0.45,0.531,2015
Seattle Seahawks,10,6,0,0.625,3/3/2000,7/5/2000,0.431,0.52,2015
Atlanta Falcons,8,8,0,0.5,1/5/2000,5/7/2000,0.453,0.48,2015
St. Louis Rams,7,9,0,0.438,4/2/2000,6/6/2000,0.482,0.527,2015
Detroit Lions,7,9,0,0.438,3/3/2000,6/6/2000,0.429,0.535,2015
Philadelphia Eagles,7,9,0,0.438,3/3/2000,4/8/2000,0.473,0.508,2015
New Orleans Saints,7,9,0,0.438,3/3/2000,5/7/2000,0.402,0.504,2015
New York Giants,6,10,0,0.375,2/4/2000,4/8/2000,0.396,0.5,2015
Chicago Bears,6,10,0,0.375,1/5/2000,3/9/2000,0.469,0.547,2015
Tampa Bay Buccaneers,6,10,0,0.375,3/3/2000,5/7/2000,0.406,0.484,2015
San Francisco 49ers,5,11,0,0.312,1/5/2000,4/8/2000,0.463,0.539,2015
Dallas Cowboys,4,12,0,0.25,3/3/2000,3/9/2000,0.438,0.531,2015
