Team,Gms,Rush,Pass,Pen,Tot,Att,Made,Pct,Att,Made,Pct
Arizona Cardinals,16,67,191,44,302,224,90,40.2,4,3,75
Atlanta Falcons,16,75,233,22,330,210,93,44.3,16,8,50
Baltimore Ravens,16,113,194,38,345,205,84,41,18,9,50
Buffalo Bills,16,65,186,22,273,229,84,36.7,14,6,42.9
Carolina Panthers,16,117,199,31,347,222,93,41.9,10,6,60
Chicago Bears,16,91,194,37,322,207,78,37.7,28,13,46.4
Cincinnati Bengals,16,122,164,27,313,211,84,39.8,13,7,53.8
Cleveland Browns,16,88,179,27,294,207,61,29.5,14,5,35.7
Dallas Cowboys,16,106,205,31,342,201,95,47.3,6,3,50
Denver Broncos,16,98,227,35,360,213,94,44.1,13,6,46.2
Detroit Lions,16,72,210,28,310,223,86,38.6,20,10,50
Green Bay Packers,16,104,222,30,356,197,93,47.2,10,4,40
Houston Texans,16,108,171,34,313,235,91,38.7,17,10,58.8
Indianapolis Colts,16,80,251,40,371,217,89,41,15,6,40
Jacksonville Jaguars,16,86,154,31,271,216,69,31.9,19,7,36.8
Kansas City Chiefs,16,92,184,33,309,201,80,39.8,12,5,41.7
Miami Dolphins,16,99,226,36,361,200,80,40,19,7,36.8
Minnesota Vikings,16,90,171,27,288,211,82,38.9,12,6,50
New England Patriots,16,96,228,37,361,221,98,44.3,13,7,53.8
New Orleans Saints,16,101,258,36,395,203,98,48.3,15,8,53.3
New York Giants,16,83,218,35,336,235,101,43,16,5,31.2
New York Jets,16,112,154,23,289,234,91,38.9,16,9,56.2
Oakland Raiders,16,56,173,19,248,236,80,33.9,15,9,60
Philadelphia Eagles,16,109,218,29,356,237,103,43.5,11,7,63.6
Pittsburgh Steelers,16,98,243,38,379,208,93,44.7,10,5,50
San Diego Chargers,16,75,214,37,326,215,97,45.1,11,5,45.5
San Francisco 49ers,16,104,165,34,303,213,86,40.4,18,10,55.6
Seattle Seahawks,16,144,160,24,328,212,90,42.5,11,3,27.3
St. Louis Rams,16,79,189,20,288,192,68,35.4,10,4,40
Tampa Bay Buccaneers,16,72,162,29,263,203,76,37.4,12,4,33.3
Tennessee Titans,16,75,159,24,258,196,59,30.1,17,6,35.3
Washington Redskins,16,88,186,44,318,197,62,31.5,16,4,25
