Team,Gms,Punts,Yds,Avg,Lg,TB,In20,Blk,Net
Arizona Cardinals,16,90,3815,42.39,67,6,35,2,37.08
Atlanta Falcons,16,67,3063,45.72,66,4,27,0,40.79
Baltimore Ravens,16,60,2841,47.35,73,4,26,0,43.25
Buffalo Bills,16,86,3692,42.93,67,6,31,0,38.67
Carolina Panthers,16,72,3236,44.94,72,5,26,2,36.5
Chicago Bears,16,71,3107,43.76,61,3,20,1,37.67
Cincinnati Bengals,16,73,3419,46.84,69,6,27,0,42.1
Cleveland Browns,16,93,4119,44.29,59,9,25,0,39.18
Dallas Cowboys,16,57,2586,45.37,64,2,21,1,39.76
Denver Broncos,16,69,3048,44.17,65,4,25,0,37.64
Detroit Lions,16,68,3138,46.15,71,5,29,0,40.1
Green Bay Packers,16,49,2159,44.06,63,4,14,2,37.02
Houston Texans,16,83,3847,46.35,71,10,27,1,38.68
Indianapolis Colts,16,69,3221,46.68,61,3,30,0,42.84
Jacksonville Jaguars,16,94,4464,47.49,69,10,25,2,39.58
Kansas City Chiefs,16,71,3164,44.56,69,5,31,0,40.48
Miami Dolphins,16,58,2688,46.34,60,3,21,1,38.63
Minnesota Vikings,16,75,3318,44.24,62,6,21,1,38.72
New England Patriots,16,66,3060,46.36,67,6,25,1,39.9
New Orleans Saints,16,58,2690,46.38,63,5,19,0,42.95
New York Giants,16,80,3640,45.5,71,6,25,1,38.63
New York Jets,16,78,3580,45.9,69,9,23,1,39.87
Oakland Raiders,16,109,4930,45.23,62,3,31,0,39.97
Philadelphia Eagles,16,76,3331,43.83,68,7,34,0,38.86
Pittsburgh Steelers,16,61,2668,43.74,74,4,20,1,38.18
San Diego Chargers,16,74,3366,45.49,72,7,23,1,38.13
San Francisco 49ers,16,72,3369,46.79,71,7,28,1,39.63
Seattle Seahawks,16,61,2688,44.07,66,6,28,1,38.27
St. Louis Rams,16,80,3721,46.51,61,5,33,1,42.33
Tampa Bay Buccaneers,16,78,3154,40.44,56,2,17,1,37.08
Tennessee Titans,16,88,4118,46.8,79,7,28,1,40.76
Washington Redskins,16,77,3659,47.52,77,7,22,1,40.03
