Team,Gms,Num,Yds,Avg,FC,Lg,TD,Yds/G
Arizona Cardinals,16,26,277,10.65,24,71t,1,17.3
Atlanta Falcons,16,18,239,13.28,11,68,1,14.9
Baltimore Ravens,16,32,292,9.12,23,45,0,18.2
Buffalo Bills,16,37,354,9.57,18,75t,1,22.1
Carolina Panthers,16,30,239,7.97,26,79t,1,14.9
Chicago Bears,16,21,109,5.19,13,22,0,6.8
Cincinnati Bengals,16,40,439,10.97,15,49,0,27.4
Cleveland Browns,16,27,181,6.7,25,37,0,11.3
Dallas Cowboys,16,30,275,9.17,13,38,0,17.2
Denver Broncos,16,41,296,7.22,28,22,0,18.5
Detroit Lions,16,32,284,8.88,37,28,0,17.8
Green Bay Packers,16,29,333,11.48,12,75t,2,20.8
Houston Texans,16,34,208,6.12,28,21,0,13
Indianapolis Colts,16,45,312,6.93,25,22,0,19.5
Jacksonville Jaguars,16,37,264,7.14,15,23,0,16.5
Kansas City Chiefs,16,50,605,12.1,4,81t,1,37.8
Miami Dolphins,16,25,204,8.16,19,32,0,12.8
Minnesota Vikings,16,27,297,11,26,35,0,18.6
New England Patriots,16,41,431,10.51,11,84t,1,26.9
New Orleans Saints,16,19,134,7.05,26,32,0,8.4
New York Giants,16,29,224,7.72,27,25,0,14
New York Jets,16,43,273,6.35,20,41,0,17.1
Oakland Raiders,16,37,261,7.05,17,27,0,16.3
Philadelphia Eagles,16,41,531,12.95,21,82t,2,33.2
Pittsburgh Steelers,16,32,321,10.03,16,71t,1,20.1
San Diego Chargers,16,23,203,8.83,18,58,0,12.7
San Francisco 49ers,16,35,227,6.49,13,23,0,14.2
Seattle Seahawks,16,36,252,7,28,38,0,15.8
St. Louis Rams,16,37,482,13.03,24,90t,2,30.1
Tampa Bay Buccaneers,16,23,249,10.83,17,53,0,15.6
Tennessee Titans,16,30,207,6.9,18,48,0,12.9
Washington Redskins,16,29,208,7.17,27,37,0,13
