Team,Gms,Num,Yds,Avg,Lg,TD,Yds/G
Arizona Cardinals,16,29,592,20.41,55,0,37
Atlanta Falcons,16,39,871,22.33,61,0,54.4
Baltimore Ravens,16,34,936,27.53,96t,1,58.5
Buffalo Bills,16,32,640,20,29,0,40
Carolina Panthers,16,34,760,22.35,103t,1,47.5
Chicago Bears,16,46,969,21.07,46,0,60.6
Cincinnati Bengals,16,34,670,19.71,41,0,41.9
Cleveland Browns,16,35,790,22.57,71,0,49.4
Dallas Cowboys,16,25,620,24.8,61,0,38.8
Denver Broncos,16,34,768,22.59,61,0,48
Detroit Lions,16,32,583,18.22,35,0,36.4
Green Bay Packers,16,35,761,21.74,34,0,47.6
Houston Texans,16,27,558,20.67,42,0,34.9
Indianapolis Colts,16,28,590,21.07,60,0,36.9
Jacksonville Jaguars,16,25,551,22.04,68,0,34.4
Kansas City Chiefs,16,47,1051,22.36,42,0,65.7
Los Angeles Chargers,16,25,474,18.96,44,0,29.6
Los Angeles Rams,16,40,1001,25.02,103t,1,62.6
Miami Dolphins,16,40,834,20.85,37,0,52.1
Minnesota Vikings,16,25,619,24.76,39,0,38.7
New England Patriots,16,28,622,22.21,103t,1,38.9
New Orleans Saints,16,36,825,22.92,106t,1,51.6
New York Giants,16,31,609,19.65,30,0,38.1
New York Jets,16,34,683,20.09,40,0,42.7
Oakland Raiders,16,34,738,21.71,49,0,46.1
Philadelphia Eagles,16,18,354,19.67,35,0,22.1
Pittsburgh Steelers,16,33,630,19.09,96t,1,39.4
San Francisco 49ers,16,31,570,18.39,34,0,35.6
Seattle Seahawks,16,43,1004,23.35,99t,1,62.8
Tampa Bay Buccaneers,16,20,432,21.6,50,0,27
Tennessee Titans,16,28,618,22.07,57,0,38.6
Washington Redskins,16,34,673,19.79,35,0,42.1
