Team,Gms,Rush,Pass,Pen,Tot,Att,Made,Pct,Att,Made,Pct
Arizona Cardinals,16,66,200,44,310,233,82,35.2,16,7,43.8
Atlanta Falcons,16,101,200,29,330,197,88,44.7,13,4,30.8
Baltimore Ravens,16,111,168,32,311,223,76,34.1,16,10,62.5
Buffalo Bills,16,105,149,24,278,241,101,41.9,15,2,13.3
Carolina Panthers,16,121,167,32,320,222,93,41.9,11,5,45.5
Chicago Bears,16,93,144,30,267,205,71,34.6,18,7,38.9
Cincinnati Bengals,16,72,165,30,267,199,67,33.7,12,5,41.7
Cleveland Browns,16,97,157,36,290,216,73,33.8,23,12,52.2
Dallas Cowboys,16,127,162,25,314,203,87,42.9,19,10,52.6
Denver Broncos,16,92,180,25,297,241,94,39,20,7,35
Detroit Lions,16,58,210,28,296,209,81,38.8,9,1,11.1
Green Bay Packers,16,99,176,32,307,211,83,39.3,28,15,53.6
Houston Texans,16,86,180,47,313,209,76,36.4,10,5,50
Indianapolis Colts,16,94,148,25,267,228,87,38.2,17,8,47.1
Jacksonville Jaguars,16,101,193,38,332,227,85,37.4,13,10,76.9
Kansas City Chiefs,16,95,198,29,322,199,78,39.2,10,3,30
Los Angeles Chargers,16,84,220,33,337,209,84,40.2,11,5,45.5
Los Angeles Rams,16,97,185,29,311,214,88,41.1,12,5,41.7
Miami Dolphins,16,66,187,31,284,202,64,31.7,24,7,29.2
Minnesota Vikings,16,100,196,38,334,216,94,43.5,7,1,14.3
New England Patriots,16,107,232,50,389,202,82,40.6,13,8,61.5
New Orleans Saints,16,111,201,20,332,194,73,37.6,15,12,80
New York Giants,16,66,178,27,271,227,74,32.6,21,8,38.1
New York Jets,16,77,157,35,269,228,81,35.5,13,7,53.8
Oakland Raiders,16,78,178,31,287,204,82,40.2,24,8,33.3
Philadelphia Eagles,16,108,193,37,338,230,96,41.7,26,17,65.4
Pittsburgh Steelers,16,96,217,35,348,209,92,44,8,3,37.5
San Francisco 49ers,16,88,206,27,321,234,91,38.9,18,8,44.4
Seattle Seahawks,16,85,183,31,299,212,79,37.3,9,5,55.6
Tampa Bay Buccaneers,16,76,243,33,352,196,85,43.4,8,4,50
Tennessee Titans,16,97,157,36,290,202,71,35.1,10,5,50
Washington Redskins,16,66,191,21,278,204,66,32.4,16,9,56.2
