Team,Gms,Punts,Yds,Avg,Lg,TB,In20,Blk,Net
Arizona Cardinals,16,88,4159,47.26,63,8,29,0,39.69
Atlanta Falcons,16,53,2379,44.89,62,2,19,0,40.75
Baltimore Ravens,16,84,3765,44.82,67,3,40,1,40.33
Buffalo Bills,16,79,3529,44.67,60,6,28,0,40.49
Carolina Panthers,16,71,3269,46.04,63,4,25,0,42.44
Chicago Bears,16,87,4087,46.98,69,6,27,0,39.71
Cincinnati Bengals,16,88,4101,46.6,63,3,32,1,40.8
Cleveland Browns,16,81,3827,47.25,67,2,24,1,40.3
Dallas Cowboys,16,66,2908,44.06,62,5,34,0,41.41
Denver Broncos,16,74,3357,45.36,60,3,24,2,39.99
Detroit Lions,16,73,3190,43.7,64,6,25,0,39.34
Green Bay Packers,16,71,3155,44.44,62,2,19,0,41.56
Houston Texans,16,92,4507,48.99,68,5,32,0,41.29
Indianapolis Colts,16,84,3764,44.81,61,3,28,1,42.64
Jacksonville Jaguars,16,87,3835,44.08,65,9,29,1,38.94
Kansas City Chiefs,16,65,2936,45.17,77,5,29,0,41.11
Los Angeles Chargers,16,74,3558,48.08,69,9,27,0,41.34
Los Angeles Rams,16,65,3113,47.89,70,4,30,0,44.32
Miami Dolphins,16,83,3695,44.52,64,5,30,0,40.66
Minnesota Vikings,16,71,2994,42.17,56,0,29,0,39.17
New England Patriots,16,58,2515,43.36,60,3,24,0,40.52
New Orleans Saints,16,60,2822,47.03,68,2,26,0,42.22
New York Giants,16,95,4189,44.09,69,9,19,2,36.71
New York Jets,16,94,4378,46.57,70,4,33,0,40.5
Oakland Raiders,16,69,3270,47.39,65,6,28,0,42.68
Philadelphia Eagles,16,67,3033,45.27,62,5,21,1,40.62
Pittsburgh Steelers,16,64,2763,43.17,62,2,26,0,39.78
San Francisco 49ers,16,75,3255,43.4,59,1,31,0,41.29
Seattle Seahawks,16,92,4141,45.01,74,6,29,0,38.79
Tampa Bay Buccaneers,16,65,2857,43.95,62,5,24,1,39.45
Tennessee Titans,16,75,3728,49.71,74,5,28,0,44.56
Washington Redskins,16,83,3794,45.71,64,6,33,0,39.02
