Team,Gms,Att,Yds,Avg,TD,FD,Yds/G
Arizona Cardinals,16,399,1732,4.34,20,97,108.2
Atlanta Falcons,16,421,1928,4.58,20,108,120.5
Baltimore Ravens,16,367,1463,3.99,10,79,91.4
Buffalo Bills,16,492,2630,5.35,29,146,164.4
Carolina Panthers,16,453,1814,4,16,99,113.4
Chicago Bears,16,380,1735,4.57,10,93,108.4
Cincinnati Bengals,16,446,1769,3.97,17,100,110.6
Cleveland Browns,16,350,1712,4.89,13,83,107
Dallas Cowboys,16,499,2396,4.8,24,142,149.8
Denver Broncos,16,410,1484,3.62,11,76,92.8
Detroit Lions,16,350,1310,3.74,9,76,81.9
Green Bay Packers,16,374,1701,4.55,11,91,106.3
Houston Texans,16,456,1859,4.08,8,102,116.2
Indianapolis Colts,16,409,1628,3.98,13,93,101.8
Jacksonville Jaguars,16,392,1631,4.16,8,75,101.9
Kansas City Chiefs,16,412,1748,4.24,15,86,109.2
Los Angeles Rams,16,375,1252,3.34,9,68,78.2
Miami Dolphins,16,405,1824,4.5,14,90,114
Minnesota Vikings,16,380,1205,3.17,9,66,75.3
New England Patriots,16,482,1872,3.88,19,109,117
New Orleans Saints,16,404,1742,4.31,17,105,108.9
New York Giants,16,398,1412,3.55,6,73,88.2
New York Jets,16,418,1802,4.31,10,97,112.6
Oakland Raiders,16,434,1922,4.43,17,98,120.1
Philadelphia Eagles,16,438,1813,4.14,16,114,113.3
Pittsburgh Steelers,16,409,1760,4.3,13,97,110
San Diego Chargers,16,398,1510,3.79,10,90,94.4
San Francisco 49ers,16,458,2019,4.41,15,116,126.2
Seattle Seahawks,16,403,1591,3.95,13,85,99.4
Tampa Bay Buccaneers,16,453,1616,3.57,8,80,101
Tennessee Titans,16,476,2187,4.59,16,115,136.7
Washington Redskins,16,379,1696,4.47,17,89,106
