Team,Gms,Num,Yds,Avg,Lg,TD,Yds/G
Arizona Cardinals,16,25,544,21.76,51,0,34
Atlanta Falcons,16,23,484,21.04,42,0,30.2
Baltimore Ravens,16,28,636,22.71,60,0,39.8
Buffalo Bills,16,39,829,21.26,45,0,51.8
Carolina Panthers,16,37,828,22.38,59,0,51.8
Chicago Bears,16,42,897,21.36,64,0,56.1
Cincinnati Bengals,16,39,1003,25.72,84,0,62.7
Cleveland Browns,16,34,634,18.65,36,0,39.6
Dallas Cowboys,16,24,492,20.5,33,0,30.8
Denver Broncos,16,21,481,22.9,46,0,30.1
Detroit Lions,16,35,793,22.66,42,0,49.6
Green Bay Packers,16,32,631,19.72,40,0,39.4
Houston Texans,16,30,557,18.57,39,0,34.8
Indianapolis Colts,16,32,804,25.12,99t,1,50.2
Jacksonville Jaguars,16,37,881,23.81,100t,1,55.1
Kansas City Chiefs,16,40,943,23.57,86t,1,58.9
Los Angeles Rams,16,47,1122,23.87,61,0,70.1
Miami Dolphins,16,35,879,25.11,96t,1,54.9
Minnesota Vikings,16,33,902,27.33,104t,1,56.4
New England Patriots,16,29,542,18.69,73,0,33.9
New Orleans Saints,16,28,462,16.5,31,0,28.9
New York Giants,16,31,739,23.84,46,0,46.2
New York Jets,16,43,941,21.88,65,0,58.8
Oakland Raiders,16,26,534,20.54,50,0,33.4
Philadelphia Eagles,16,35,956,27.31,98t,2,59.8
Pittsburgh Steelers,16,28,603,21.54,44,0,37.7
San Diego Chargers,16,28,508,18.14,30,0,31.8
San Francisco 49ers,16,38,749,19.71,41,0,46.8
Seattle Seahawks,16,35,808,23.09,46,0,50.5
Tampa Bay Buccaneers,16,21,307,14.62,26,0,19.2
Tennessee Titans,16,33,629,19.06,37,0,39.3
Washington Redskins,16,27,570,21.11,45,0,35.6
