Team,Gms,Num,Yds,Avg,FC,Lg,TD,Yds/G
Arizona Cardinals,16,38,230,6.05,24,32,0,14.4
Atlanta Falcons,16,24,273,11.38,21,73,0,17.1
Baltimore Ravens,16,32,246,7.69,21,28,0,15.4
Buffalo Bills,16,28,314,11.21,17,43,0,19.6
Carolina Panthers,16,29,202,6.97,24,19,0,12.6
Chicago Bears,16,27,215,7.96,27,65t,1,13.4
Cincinnati Bengals,16,38,246,6.47,19,24,0,15.4
Cleveland Browns,16,30,200,6.67,13,18,0,12.5
Dallas Cowboys,16,28,198,7.07,15,39,0,12.4
Denver Broncos,16,37,316,8.54,26,25,0,19.8
Detroit Lions,16,20,246,12.3,16,85t,2,15.4
Green Bay Packers,16,26,235,9.04,21,55,0,14.7
Houston Texans,16,39,427,10.95,29,67t,1,26.7
Indianapolis Colts,16,22,182,8.27,22,30,0,11.4
Jacksonville Jaguars,16,40,220,5.5,24,42,0,13.8
Kansas City Chiefs,16,40,592,14.8,8,95t,2,37
Los Angeles Rams,16,49,369,7.53,19,47,0,23.1
Miami Dolphins,16,36,328,9.11,18,74t,1,20.5
Minnesota Vikings,16,34,354,10.41,22,79t,2,22.1
New England Patriots,16,45,309,6.87,18,30,0,19.3
New Orleans Saints,16,23,221,9.61,17,59,0,13.8
New York Giants,16,45,275,6.11,17,19,0,17.2
New York Jets,16,27,149,5.52,28,27,0,9.3
Oakland Raiders,16,41,380,9.27,13,47,0,23.8
Philadelphia Eagles,16,19,246,12.95,13,66,0,15.4
Pittsburgh Steelers,16,22,185,8.41,19,33,0,11.6
San Diego Chargers,16,32,212,6.62,12,21,0,13.2
San Francisco 49ers,16,23,216,9.39,36,33,0,13.5
Seattle Seahawks,16,30,249,8.3,28,62,0,15.6
Tampa Bay Buccaneers,16,29,266,9.17,22,25,0,16.6
Tennessee Titans,16,30,236,7.87,22,18,0,14.8
Washington Redskins,16,29,344,11.86,16,85t,1,21.5
