Team,Gms,Punts,Yds,Avg,Lg,TB,In20,Blk,Net
Arizona Cardinals,16,78,3269,41.91,62,2,25,2,36.49
Atlanta Falcons,16,48,2243,46.73,68,1,21,0,41.71
Baltimore Ravens,16,80,3665,45.81,68,5,37,0,39.88
Buffalo Bills,16,75,3183,42.44,58,3,20,0,38.15
Carolina Panthers,16,76,3480,45.79,76,8,31,0,38.64
Chicago Bears,16,68,2994,44.03,67,5,24,0,38.41
Cincinnati Bengals,16,78,3613,46.32,72,8,23,0,39.54
Cleveland Browns,16,83,3761,45.31,65,2,22,0,40.3
Dallas Cowboys,16,58,2661,45.88,66,4,25,1,40.49
Denver Broncos,16,89,4068,45.71,68,6,28,0,41.31
Detroit Lions,16,62,3010,48.55,63,3,23,0,44.19
Green Bay Packers,16,56,2420,43.21,65,4,19,0,39.09
Houston Texans,16,72,3423,47.54,62,3,30,0,40.08
Indianapolis Colts,16,55,2711,49.29,74,9,19,1,42.71
Jacksonville Jaguars,16,77,3589,46.61,78,8,27,0,39.48
Kansas City Chiefs,16,76,3427,45.09,64,9,38,0,40.66
Los Angeles Rams,16,98,4680,47.76,78,1,51,0,46
Miami Dolphins,16,90,3991,44.34,66,5,32,0,39.9
Minnesota Vikings,16,74,3155,42.64,72,3,34,0,39
New England Patriots,16,72,3217,44.68,57,5,23,0,41.43
New Orleans Saints,16,57,2751,48.26,66,5,22,0,42.35
New York Giants,16,93,4297,46.2,63,8,28,0,40.94
New York Jets,16,75,3236,43.15,59,4,24,1,37.33
Oakland Raiders,16,81,3937,48.6,72,9,34,0,41.38
Philadelphia Eagles,16,63,2888,45.84,72,6,21,0,40.73
Pittsburgh Steelers,16,68,3100,45.59,64,3,25,1,40.16
San Diego Chargers,16,59,2731,46.29,69,5,18,0,39.81
San Francisco 49ers,16,100,4402,44.02,65,4,28,0,39.77
Seattle Seahawks,16,71,3126,44.03,64,3,26,1,39.31
Tampa Bay Buccaneers,16,70,3215,45.93,59,5,37,0,42.67
Tennessee Titans,16,77,3402,44.18,71,4,32,0,38.64
Washington Redskins,16,49,2209,45.08,61,4,15,0,38.92
