Team,Gms,Num,Yds,Avg,Lg,TD,Yds/G
Arizona Cardinals,16,36,764,21.22,39,0,47.8
Atlanta Falcons,16,25,571,22.84,47,0,35.7
Baltimore Ravens,16,27,493,18.26,46,0,30.8
Buffalo Bills,16,32,802,25.06,66,1,50.1
Carolina Panthers,16,31,677,21.84,36,0,42.3
Chicago Bears,16,34,903,26.56,102t,1,56.4
Cincinnati Bengals,16,42,1091,25.98,92t,1,68.2
Cleveland Browns,16,38,830,21.84,74,0,51.9
Dallas Cowboys,16,20,325,16.25,30,0,20.3
Denver Broncos,16,21,534,25.43,60,0,33.4
Detroit Lions,16,23,564,24.52,100t,1,35.2
Green Bay Packers,16,32,667,20.84,45,0,41.7
Houston Texans,16,14,308,22,31,0,19.2
Indianapolis Colts,16,31,707,22.81,47,0,44.2
Jacksonville Jaguars,16,26,628,24.15,59,0,39.2
Kansas City Chiefs,16,37,927,25.05,104t,1,57.9
Los Angeles Chargers,16,35,726,20.74,43,0,45.4
Los Angeles Rams,16,18,404,22.44,30,0,25.2
Miami Dolphins,16,36,796,22.11,101t,1,49.8
Minnesota Vikings,16,17,380,22.35,38,0,23.8
New England Patriots,16,26,575,22.12,38,0,35.9
New Orleans Saints,16,28,676,24.14,51,0,42.2
New York Giants,16,49,1153,23.53,52,0,72.1
New York Jets,16,37,807,21.81,78,0,50.4
Oakland Raiders,16,35,811,23.17,72,0,50.7
Philadelphia Eagles,16,29,653,22.52,67,0,40.8
Pittsburgh Steelers,16,29,525,18.1,34,0,32.8
San Francisco 49ers,16,20,409,20.45,81,0,25.6
Seattle Seahawks,16,22,432,19.64,33,0,27
Tampa Bay Buccaneers,16,25,494,19.76,39,0,30.9
Tennessee Titans,16,30,638,21.27,45,0,39.9
Washington Redskins,16,33,833,25.24,91t,1,52.1
