Team,Gms,Rush,Pass,Pen,Tot,Att,Made,Pct,Att,Made,Pct
Arizona Cardinals,16,109,176,29,314,197,71,36,20,13,65
Atlanta Falcons,16,84,258,41,383,207,87,42,21,13,61.9
Baltimore Ravens,16,188,171,27,386,187,88,47.1,24,17,70.8
Buffalo Bills,16,120,162,32,314,212,76,35.8,18,8,44.4
Carolina Panthers,16,82,230,23,335,207,66,31.9,24,12,50
Chicago Bears,16,85,178,34,297,216,77,35.6,21,7,33.3
Cincinnati Bengals,16,85,191,36,312,222,80,36,26,13,50
Cleveland Browns,16,90,180,35,305,196,71,36.2,17,7,41.2
Dallas Cowboys,16,120,229,30,379,204,96,47.1,16,7,43.8
Denver Broncos,16,77,162,40,279,202,64,31.7,16,11,68.8
Detroit Lions,16,82,196,35,313,220,90,40.9,13,5,38.5
Green Bay Packers,16,90,190,40,320,203,73,36,14,7,50
Houston Texans,16,112,203,31,346,193,84,43.5,25,13,52
Indianapolis Colts,16,131,165,44,340,207,86,41.5,24,14,58.3
Jacksonville Jaguars,16,85,183,30,298,220,76,34.5,25,12,48
Kansas City Chiefs,16,93,211,46,350,187,89,47.6,10,6,60
Los Angeles Chargers,16,90,220,39,349,194,86,44.3,18,10,55.6
Los Angeles Rams,16,92,222,28,342,208,83,39.9,13,3,23.1
Miami Dolphins,16,64,210,41,315,207,71,34.3,28,13,46.4
Minnesota Vikings,16,106,171,37,314,194,83,42.8,15,8,53.3
New England Patriots,16,110,197,31,338,227,87,38.3,15,6,40
New Orleans Saints,16,97,230,20,347,192,81,42.2,13,5,38.5
New York Giants,16,89,187,35,311,212,79,37.3,31,14,45.2
New York Jets,16,61,162,30,253,212,65,30.7,19,7,36.8
Oakland Raiders,16,104,194,17,315,201,88,43.8,19,11,57.9
Philadelphia Eagles,16,104,215,35,354,229,104,45.4,24,8,33.3
Pittsburgh Steelers,16,75,147,43,265,195,67,34.4,15,2,13.3
San Francisco 49ers,16,110,195,31,336,200,90,45,12,7,58.3
Seattle Seahawks,16,121,190,30,341,200,79,39.5,14,7,50
Tampa Bay Buccaneers,16,81,244,28,353,217,90,41.5,17,9,52.9
Tennessee Titans,16,104,177,36,317,185,70,37.8,14,4,28.6
Washington Redskins,16,74,154,20,248,179,52,29.1,14,6,42.9
