Team,Gms,Punts,Yds,Avg,Lg,TB,In20,Blk,Net
Arizona Cardinals,16,69,3288,47.65,64,5,23,1,41.49
Atlanta Falcons,16,52,2210,42.5,60,3,22,1,38.06
Baltimore Ravens,16,40,1855,46.38,62,4,21,1,39.8
Buffalo Bills,16,79,3313,41.94,67,7,34,1,37.7
Carolina Panthers,16,75,3452,46.03,62,3,25,0,38.73
Chicago Bears,16,80,3586,44.83,75,2,26,1,40.73
Cincinnati Bengals,16,75,3394,45.25,63,5,30,0,42.11
Cleveland Browns,16,64,2950,46.09,71,5,29,1,41.52
Dallas Cowboys,16,50,2079,41.58,58,2,18,1,36.96
Denver Broncos,16,78,3464,44.41,64,4,29,0,39.36
Detroit Lions,16,76,3445,45.33,62,7,31,0,41.78
Green Bay Packers,16,77,3386,43.97,66,4,29,0,39.91
Houston Texans,16,57,2599,45.6,71,2,27,0,43.46
Indianapolis Colts,16,59,2619,44.39,60,1,22,0,41.24
Jacksonville Jaguars,16,75,3507,46.76,66,2,25,0,44.53
Kansas City Chiefs,16,48,2126,44.29,68,3,21,1,40.35
Los Angeles Chargers,16,48,2256,47,60,2,17,0,40.92
Los Angeles Rams,16,66,3128,47.39,71,5,22,1,42.36
Miami Dolphins,16,69,3105,45,62,2,23,0,41.1
Minnesota Vikings,16,62,2802,45.19,59,0,24,0,42.65
New England Patriots,16,81,3638,44.91,65,6,36,0,41.27
New Orleans Saints,16,60,2770,46.17,64,1,29,0,43.07
New York Giants,16,69,3178,46.06,62,2,29,2,42.28
New York Jets,16,87,3991,45.87,63,3,28,0,41.63
Oakland Raiders,16,67,3081,45.99,74,6,33,0,39.45
Philadelphia Eagles,16,71,3292,46.37,61,4,28,0,42.32
Pittsburgh Steelers,16,74,3368,45.51,69,4,24,0,40.85
San Francisco 49ers,16,52,2333,44.87,65,2,23,0,41.58
Seattle Seahawks,16,74,3341,45.15,63,5,34,0,40.92
Tampa Bay Buccaneers,16,57,2464,43.23,63,3,19,0,38.28
Tennessee Titans,16,78,3672,47.08,70,2,37,0,43.12
Washington Redskins,16,79,3919,49.61,79,4,30,0,44.11
