Team,Gms,Num,Yds,Avg,FC,Lg,TD,Yds/G
Arizona Cardinals,16,24,168,7,20,29,0,10.5
Atlanta Falcons,16,37,263,7.11,1,78t,1,16.4
Baltimore Ravens,16,25,206,8.24,17,25,0,12.9
Buffalo Bills,16,32,243,7.59,21,22,0,15.2
Carolina Panthers,16,25,171,6.84,16,39,0,10.7
Chicago Bears,16,33,302,9.15,19,71,0,18.9
Cincinnati Bengals,16,29,164,5.66,17,17,0,10.2
Cleveland Browns,16,23,163,7.09,15,18,0,10.2
Dallas Cowboys,16,23,131,5.7,20,15,0,8.2
Denver Broncos,16,27,208,7.7,29,42,0,13
Detroit Lions,16,31,246,7.94,22,64t,1,15.4
Green Bay Packers,16,20,98,4.9,31,18,0,6.1
Houston Texans,16,22,214,9.73,18,23,0,13.4
Indianapolis Colts,16,24,418,17.42,21,84t,2,26.1
Jacksonville Jaguars,16,31,154,4.97,18,43,0,9.6
Kansas City Chiefs,16,32,222,6.94,7,36,0,13.9
Los Angeles Chargers,16,22,118,5.36,17,68t,1,7.4
Los Angeles Rams,16,27,170,6.3,26,35,0,10.6
Miami Dolphins,16,27,177,6.56,13,21,0,11.1
Minnesota Vikings,16,28,191,6.82,18,23,0,11.9
New England Patriots,16,29,233,8.03,26,22,0,14.6
New Orleans Saints,16,40,368,9.2,12,53t,1,23
New York Giants,16,28,274,9.79,14,60,0,17.1
New York Jets,16,21,240,11.43,32,26,0,15
Oakland Raiders,16,27,190,7.04,22,32,0,11.9
Philadelphia Eagles,16,27,160,5.93,23,17,0,10
Pittsburgh Steelers,16,29,285,9.83,19,85t,1,17.8
San Francisco 49ers,16,33,264,8,11,32,0,16.5
Seattle Seahawks,16,23,141,6.13,20,20,0,8.8
Tampa Bay Buccaneers,16,33,172,5.21,17,40,0,10.8
Tennessee Titans,16,22,169,7.68,30,21,0,10.6
Washington Redskins,16,22,104,4.73,13,15,0,6.5
