Team,Gms,Punts,Yds,Avg,Lg,TB,In20,Blk,Net
Arizona Cardinals,16,94,4568,48.6,64,7,32,0,42.64
Atlanta Falcons,16,60,2729,45.48,57,3,22,2,40.08
Baltimore Ravens,16,60,2842,47.37,65,5,27,1,39.79
Buffalo Bills,16,81,3513,43.37,60,7,31,1,37.51
Carolina Panthers,16,61,2759,45.23,59,4,24,0,40.95
Chicago Bears,16,62,2791,45.02,65,7,28,1,39.7
Cincinnati Bengals,16,71,3119,43.93,69,3,29,1,39.43
Cleveland Browns,16,83,3767,45.39,79,6,32,2,38.24
Dallas Cowboys,16,60,2670,44.5,63,2,17,0,39.6
Denver Broncos,16,85,3786,44.54,66,8,29,0,38.33
Detroit Lions,16,74,3310,44.73,61,4,32,0,39.16
Green Bay Packers,16,71,3176,44.73,67,9,19,1,38.75
Houston Texans,16,74,3237,43.74,61,5,36,0,39.15
Indianapolis Colts,16,57,2629,46.12,63,5,24,0,42.74
Jacksonville Jaguars,16,86,3872,45.02,72,7,37,0,41.26
Kansas City Chiefs,16,45,2021,44.91,67,5,21,0,40.53
Los Angeles Chargers,16,61,2643,43.33,66,4,21,1,37.19
Los Angeles Rams,16,43,1992,46.33,68,2,21,0,42.98
Miami Dolphins,16,87,3884,44.64,65,6,35,1,38.41
Minnesota Vikings,16,72,3255,45.21,70,2,27,1,41.47
New England Patriots,16,64,2885,45.08,66,5,21,0,39.53
New Orleans Saints,16,43,1996,46.42,60,4,15,0,43.16
New York Giants,16,71,3226,45.44,60,4,20,0,41.82
New York Jets,16,82,3763,45.89,67,5,23,0,40.79
Oakland Raiders,16,70,3022,43.17,64,5,17,0,38.3
Philadelphia Eagles,16,61,2937,48.15,68,7,24,0,42.67
Pittsburgh Steelers,16,64,2780,43.44,69,4,28,0,38.36
San Francisco 49ers,16,68,2973,43.72,64,4,22,1,39.1
Seattle Seahawks,16,78,3759,48.19,69,5,28,1,42.47
Tampa Bay Buccaneers,16,57,2567,45.04,64,4,15,1,38.9
Tennessee Titans,16,74,3483,47.07,62,3,39,1,41.69
Washington Redskins,16,79,3581,45.33,63,0,41,0,41.49
