Team,Gms,Att,Yds,Avg,TD,FD,Yds/G
Arizona Cardinals,16,355,1342,3.78,9,76,83.9
Atlanta Falcons,16,351,1573,4.48,11,84,98.3
Baltimore Ravens,16,547,2441,4.46,19,153,152.6
Buffalo Bills,16,468,1984,4.24,15,108,124
Carolina Panthers,16,416,2136,5.13,17,117,133.5
Chicago Bears,16,468,1938,4.14,16,108,121.1
Cincinnati Bengals,16,359,1682,4.69,13,92,105.1
Cleveland Browns,16,411,1893,4.61,15,93,118.3
Dallas Cowboys,16,439,1963,4.47,13,113,122.7
Denver Broncos,16,393,1907,4.85,18,107,119.2
Detroit Lions,16,404,1660,4.11,11,91,103.8
Green Bay Packers,16,333,1667,5.01,14,98,104.2
Houston Texans,16,472,2021,4.28,12,94,126.3
Indianapolis Colts,16,408,1718,4.21,13,96,107.4
Jacksonville Jaguars,16,416,1723,4.14,7,92,107.7
Kansas City Chiefs,16,387,1855,4.79,16,108,115.9
Los Angeles Chargers,16,399,1873,4.69,16,100,117.1
Los Angeles Rams,16,459,2231,4.86,23,134,139.4
Miami Dolphins,16,371,1738,4.68,7,75,108.6
Minnesota Vikings,16,357,1493,4.18,9,66,93.3
New England Patriots,16,478,2037,4.26,18,131,127.3
New Orleans Saints,16,471,2025,4.3,26,134,126.6
New York Giants,16,354,1650,4.66,13,71,103.1
New York Jets,16,410,1622,3.96,11,84,101.4
Oakland Raiders,16,387,1628,4.21,9,86,101.8
Philadelphia Eagles,16,398,1570,3.94,12,94,98.1
Pittsburgh Steelers,16,345,1445,4.19,16,88,90.3
San Francisco 49ers,16,423,1902,4.5,7,98,118.9
Seattle Seahawks,16,534,2560,4.79,15,133,160
Tampa Bay Buccaneers,16,389,1523,3.92,11,80,95.2
Tennessee Titans,16,454,2023,4.46,15,106,126.4
Washington Redskins,16,414,1774,4.29,12,96,110.9
