Team,Gms,Num,Yds,Avg,Lg,TD,Yds/G
Arizona Cardinals,16,25,536,21.44,36,0,33.5
Atlanta Falcons,16,31,689,22.23,53,0,43.1
Baltimore Ravens,16,32,707,22.09,39,0,44.2
Buffalo Bills,16,38,807,21.24,49,0,50.4
Carolina Panthers,16,26,582,22.38,37,0,36.4
Chicago Bears,16,23,440,19.13,31,0,27.5
Cincinnati Bengals,16,43,1071,24.91,77,0,66.9
Cleveland Browns,16,44,884,20.09,35,0,55.2
Dallas Cowboys,16,13,283,21.77,35,0,17.7
Denver Broncos,16,30,604,20.13,35,0,37.8
Detroit Lions,16,20,482,24.1,45,0,30.1
Green Bay Packers,16,30,644,21.47,38,0,40.2
Houston Texans,16,20,487,24.35,36,0,30.4
Indianapolis Colts,16,17,337,19.82,29,0,21.1
Jacksonville Jaguars,16,26,532,20.46,47,0,33.2
Kansas City Chiefs,16,40,975,24.38,97,0,60.9
Los Angeles Chargers,16,28,653,23.32,40,0,40.8
Los Angeles Rams,16,39,834,21.38,40,0,52.1
Miami Dolphins,16,39,938,24.05,102t,1,58.6
Minnesota Vikings,16,22,540,24.55,46,0,33.8
New England Patriots,16,28,755,26.96,95t,1,47.2
New Orleans Saints,16,23,560,24.35,50,0,35
New York Giants,16,45,1097,24.38,51,0,68.6
New York Jets,16,46,1238,26.91,99t,1,77.4
Oakland Raiders,16,29,663,22.86,34,0,41.4
Philadelphia Eagles,16,33,725,21.97,48,0,45.3
Pittsburgh Steelers,16,32,619,19.34,35,0,38.7
San Francisco 49ers,16,36,944,26.22,97t,1,59
Seattle Seahawks,16,29,669,23.07,84,0,41.8
Tampa Bay Buccaneers,16,31,631,20.35,38,0,39.4
Tennessee Titans,16,23,737,32.04,94t,1,46.1
Washington Redskins,16,29,570,19.66,44,0,35.6
