Team,Gms,Rush,Pass,Pen,Tot,Att,Made,Pct,Att,Made,Pct
Arizona Cardinals,16,76,137,26,239,199,58,29.1,16,6,37.5
Atlanta Falcons,16,84,238,30,352,203,92,45.3,19,10,52.6
Baltimore Ravens,16,153,184,30,367,231,104,45,22,13,59.1
Buffalo Bills,16,108,137,38,283,215,68,31.6,18,7,38.9
Carolina Panthers,16,117,212,27,356,185,77,41.6,19,9,47.4
Chicago Bears,16,108,177,46,331,200,82,41,15,9,60
Cincinnati Bengals,16,92,182,30,304,187,69,36.9,17,9,52.9
Cleveland Browns,16,93,189,32,314,208,73,35.1,21,9,42.9
Dallas Cowboys,16,113,184,25,322,215,89,41.4,21,12,57.1
Denver Broncos,16,107,181,32,320,207,69,33.3,25,15,60
Detroit Lions,16,91,201,33,325,208,75,36.1,18,11,61.1
Green Bay Packers,16,98,208,26,332,204,75,36.8,20,10,50
Houston Texans,16,94,202,37,333,208,77,37,12,8,66.7
Indianapolis Colts,16,96,237,38,371,214,104,48.6,15,7,46.7
Jacksonville Jaguars,16,92,164,21,277,230,93,40.4,17,8,47.1
Kansas City Chiefs,16,108,239,37,384,176,83,47.2,15,12,80
Los Angeles Chargers,16,100,213,25,338,177,70,39.5,8,7,87.5
Los Angeles Rams,16,134,236,31,401,191,86,45,15,6,40
Miami Dolphins,16,75,153,24,252,186,56,30.1,13,8,61.5
Minnesota Vikings,16,66,218,26,310,204,73,35.8,21,9,42.9
New England Patriots,16,131,206,28,365,201,82,40.8,14,7,50
New Orleans Saints,16,134,210,33,377,184,82,44.6,16,13,81.2
New York Giants,16,71,208,18,297,206,76,36.9,20,12,60
New York Jets,16,84,157,17,258,214,69,32.2,22,11,50
Oakland Raiders,16,86,197,17,300,197,73,37.1,16,7,43.8
Philadelphia Eagles,16,94,221,31,346,205,84,41,23,14,60.9
Pittsburgh Steelers,16,88,251,39,378,198,88,44.4,14,9,64.3
San Francisco 49ers,16,98,201,45,344,193,73,37.8,10,5,50
Seattle Seahawks,16,133,156,40,329,208,81,38.9,14,11,78.6
Tampa Bay Buccaneers,16,80,265,43,388,187,86,46,13,9,69.2
Tennessee Titans,16,106,156,27,289,205,82,40,12,7,58.3
Washington Redskins,16,96,156,28,280,206,75,36.4,18,10,55.6
